registrationNumber,airline,model
22222,Ryan International Airlines,B788
22223,WestJet,C172
22224,World Scale Airlines,B789
22225,Zimex Aviation,A388
22226,SITA,A321
22227,LSM International ,CRJ9
22228,Northwestern Air,B744
22229,Armenian International Airways,E190
22230,Aguilar Connect,A388
22231,Horizon Air,A319
22232,Red Jet Canada,B763
22233,Air Kazakhstan,B77W
22234,Gulisano airways,A321
22235,Ocean Airlines,AT75
22236,Rico Linhas A,AT75
22237,Rainbow Air Euro,E190
22238,All America AR,A321
22239,Alaska Airlines,A332
22240,Airlinair,B738
22241,Oceanair,A319
22242,Lviv Airlines,B77W
22243,Advance Leasing Company,B772
22244,Austral Lineas Aereas,A319
22245,President Airlines,A388
22246,Air Fiji,B738
22247,Island Express,A321
22248,Royal,B752
22249,Eagle Air,A320
22250,Vietnam Airlines,B77W
22251,Fly Dubai,A319
22252,Wilderness Air,A332
22253,Flyglobespan,B752
22254,Rossiya-Russian Airlines,AT75
22255,Aerocondor,B737
22256,Air India Limited,E190
22257,Business Aviation,B788
22258,China United Airlines,DH8D
22259,Lebanese Air Transport,B744
22260,Arrow Air,B772
22261,Air Madagascar,CRJ9
22262,Avianca - Aerovias Nacionales de Colombia,B77L
22263,CanXplorer,B77W
22264,Aero VIP,B763
22265,Asiana Airlines,B739
22266,OAG,A319
22267,CheapFlyingInternational,B77L
22268,Malmö Aviation,B77L
22269,Air Finland,B737
22270,SGA Airlines,CRJ9
22271,Lufthansa Cargo,B737
22272,World Experience Airline,E190
22273,Copa Airlines,B763
22274,Tower Air,A333
22275,Hawaiian Airlines,B77W
22276,Belavia Belarusian Airlines,A332
22277,Panafrican Airways,E190
22278,Air Nippon Network Co. Ltd.,CRJ9
22279,VRG Linhas Aereas,C172
22280,All Spain,E190
22281,ABSA - Aerolinhas Brasileiras,A320
22282,Adria Airways,A332
22283,Tropic Air,B77W
22284,German International Air Lines,DH8D
22285,Tropic Air,A321
22286,British Air Ferries,A388
22287,Lao Airlines,A332
22288,Aer Arann,B744
22289,Skywest Australia,B752
22290,Trans Maldivian Airways,A321
22291,Airbus France,E170
22292,Alitalia,B772
22293,Air India Regional,B737
22294,Sama Airlines,E190
22295,TUIfly Nordic,B77W
22296,Senegal Airlines,E190
22297,Servant Air,B744
22298,Lugansk Airlines,A388
22299,KSY,B763
22300,Xiamen Airlines,A320
22301,Continental Express,DH8D
22302,FlyLal,A321
22303,Dominicana de Aviaci,B744
22304,Delta Air Lines,A321
22305,Georgian National Airlines,A388
22306,National Jet Systems,B789
22307,Midway Airlines,B77W
22308,Edelweiss Air,DH8D
22309,Air Tanzania,B789
22310,Faso Airways,B738
22311,LAI - Linea Aerea IAACA,B77L
22312,Rossiya,AT76
22313,Air Arabia,C172
22314,Azerbaijan Airlines,B77W
22315,Titan Airways,A388
22316,BusinessAir,B739
22317,Eagle Air,A388
22318,JSC Transport Automated Information Systems,E170
22319,Swiss International Air Lines,B789
22320,Fly 6ix,CRJ9
22321,THREE,B77W
22322,FlyHigh Airlines Ireland (FH),CRJ9
22323,SATENA,A332
22324,REXAIR VIRTUEL,DH8D
22325,Japan Airlines Domestic,C172
22326,Samara Airlines,B744
22327,Polynesian Blue,C172
22328,Corsairfly,DH8D
22329,European Air Express,AT76
22330,Worldways,A319
22331,Westward Airways,A319
22332,Estonian Air,B772
22333,Air Guyane,B77L
22334,World Scale Airlines,B739
22335,BA CityFlyer,B772
22336,Chalk's Ocean Airways,B772
22337,Air Burundi,DH8D
22338,LOT Polish Airlines,A388
22339,EUjet,B737
22340,Air Kazakhstan,B738
22341,T.J. Air,AT76
22342,Royal Khmer Airlines,A319
22343,Aero VIP (2D),CRJ9
22344,Blue1,B789
22345,Hong Kong Airlines,A333
22346,TransAsia Airways,B772
22347,Skyservice Airlines,A320
22348,Air Volga,A333
22349,International Flying Service,B788
22350,Alidaunia,B739
22351,Sun Air of Scandinavia,B739
22352,Air Vistara,B772
22353,Deutsche Luftverkehrsgesellschaft (DLT),B752
22354,Dirgantara Air Service,E170
22355,Air Andaman (2Y),B739
22356,Zuliana de Aviacion,A333
22357,Catovair,B788
22358,Continental Airlines,C172
22359,Caucasus Airlines,C172
22360,Guinee Airlines,B752
22361,Skyways Express,AT75
22362,CanXplorer,DH8D
22363,Kyrgyzstan Airlines,A333
22364,Vladivostok Air,A333
22365,Barents AirLink,B772
22366,Virginwings,A332
22367,Air Lithuania,C172
22368,BVI Airways,B738
22369,Fly Europa,A319
22370,Fly Colombia ( Interliging Flights ),E190
22371,ICAR Airlines,AT75
22372,Malmö Aviation,B763
22373,Air Transat,E170
22374,USA3000 Airlines,B752
22375,Consorcio Aviaxsa,A320
22376,Aserca Airlines,B739
22377,Black Stallion Airways,A319
22378,Royal Aruban Airline,B77W
22379,AirBridge Cargo,C172
22380,Volare Airlines,B77W
22381,Air Mekong,B772
22382,Georgian National Airlines,A388
22383,Tyrolean Airways,A388
22384,Aloha Airlines,B77L
22385,Air Paradise International,B738
22386,Cargoitalia,A332
22387,Intersky,B788
22388,Execair Aviation,A319
22389,XPTO,B738
22390,Air Service Gabon,A320
22391,Philippine Airlines,B789
22392,Silk Way Airlines,A321
22393,Euromanx Airways,B772
22394,Iberia Airlines,B752
22395,Atlantic Southeast Airlines,B77W
22396,Atlantic Air Cargo,B739
22397,Cathay Pacific,AT76
22398,DHL de Guatemala,CRJ9
22399,Myway Airlines,B739
22400,China Eastern Airlines,B788
22401,Pacific Express,B789
22402,Armavia,A320
22403,Air Fiji,B738
22404,MDLR Airlines,A332
22405,Hellenic Imperial Airways,B772
22406,Air India Express,CRJ9
22407,Fly Me Sweden,C172
22408,Bankair,B744
22409,Islena De Inversiones,A333
22410,Air Madagascar,CRJ9
22411,Jetstar Asia Airways,AT75
22412,Star Air,AT75
22413,Linea Aerea SAPSA,B772
22414,International Business Air,A332
22415,Thai Star Airlines,B744
22416,Singapore Airlines,B739
22417,Rainbow Air Euro,A320
22418,Swissair,CRJ9
22419,Air Burundi,B77L
22420,Aero-Charter Ukraine,C172
22421,Comair,A319
22422,Polynesian Airlines,A319
22423,Arik Air,B788
22424,Islena De Inversiones,B744
22425,Africa West,DH8D
22426,Contact Air,B738
22427,Execair Aviation,A388
22428,LSM International ,B772
22429,AirAsia,AT75
22430,China Northern Airlines,AT75
22431,Helijet,B737
22432,Far Eastern Air Transport,E170
22433,Liberty Airways,B77L
22434,Minerva Airlines,B738
22435,Air Austral,E170
22436,Tarom,CRJ9
22437,Cimber Air,B737
22438,Biman Bangladesh Airlines,DH8D
22439,Barents AirLink,A320
22440,Allegiant Air,A321
22441,V Australia Airlines,A332
22442,Arkefly,A321
22443,Allegiant Air,B738
22444,Estonian Air,B739
22445,Hokkaido International Airlines,B763
22446,Paramount Airways,A333
22447,Livingston,A319
22448,Maersk,B744
22449,Amber Air,B737
22450,Kingfisher Airlines,B752
22451,Air France,A333
22452,Tandem Aero,B789
22453,Mango,B789
22454,Joy Air,DH8D
22455,Air Vegas,B772
22456,Air Senegal International,A321
22457,VIP Ecuador,A319
22458,Aero-Service,A320
22459,Island Air (WP),B77L
22460,Aeromexpress,E170
22461,Halcyonair,AT75
22462,Israir,AT75
22463,Nantucket Airlines,DH8D
22464,Chicago Express (C8),B737
22465,Air Philippines,E190
22466,LTU International,B739
22467,Aserca Airlines,A388
22468,VivaColombia,A321
22469,Island Airlines,A321
22470,Global Airlines,C172
22471,Eurolot,B744
22472,Zabaykalskii Airlines,B772
22473,Croatia Airlines,E170
22474,AlMasria Universal Airlines,B789
22475,Chicago Express (C8),A333
22476,Nordic Global Airlines,E190
22477,Afriqiyah Airways,C172
22478,WestAir Airlines ,B789
22479,Benin Golf Air,B789
22480,Air Europe,B739
22481,Alaska Central Express,A332
22482,Thai Air Cargo,A388
22483,Starline.kz,B739
22484,Lugansk Airlines,E190
22485,Austral Brasil,B744
22486,Halcyonair,A320
22487,LSM International ,E170
22488,Air Nippon,A388
22489,Harbor Airlines,B789
22490,Zuliana de Aviacion,B788
22491,Go Air,B739
22492,dba,E190
22493,Eurolot,A332
22494,Allegro,A333
22495,Canadian Western Airlines,E170
22496,Capital Cargo International Airlines,C172
22497,Barents AirLink,B752
22498,SilkAir,B772
22499,GoDutch,AT76
22500,Cargojet Airways,B77W
22501,Royal Airlines,A320
22502,LOT Polish Airlines,DH8D
22503,Avolar Aerolineas,CRJ9
22504,Astral Aviation,B737
22505,Big Sky Airlines,B772
22506,Hankook Airline,A388
22507,Air Service Gabon,CRJ9
22508,Royal Air Force,B737
22509,Japan Regio,B788
22510,Fischer Air,B788
22511,West Air China,A333
22512,Starling Airlines Spain,A320
22513,1Time Airline,B789
22514,VLM Airlines,DH8D
22515,Felix Airways,B739
22516,Mahfooz Aviation,DH8D
22517,Kuwait Airways,AT76
22518,Air Alps Aviation,E170
22519,Parmiss Airlines (IPV),AT75
22520,Amadeus Global Travel Distribution,B739
22521,Aereonautica militare,B763
22522,Air Transport International,B77L
22523,Ural Airlines,B77W
22524,Palair Macedonia,A319
22525,KLM Cityhopper,B788
22526,Zuliana de Aviacion,B77W
22527,Air Guyane,B789
22528,Afriqiyah Airways,A320
22529,Air Sahara,B752
22530,Sibaviatrans,B744
22531,Intersky,A332
22532,Luxair,A319
22533,HQ- Business Express,AT75
22534,BudgetAir,B772
22535,Air Mediterranee,B772
22536,All America BR,B738
22537,Elysian Airlines,CRJ9
22538,TAAG Angola Airlines,DH8D
22539,Kalitta Air,E190
22540,Panafrican Airways,A333
22541,All America AR,B763
22542,Ghana International Airlines,A320
22543,Varig Log,A319
22544,Red Jet Andes,B77W
22545,Compass Airlines,AT76
22546,VRG Linhas Aereas,A333
22547,Norte Lineas Aereas,B738
22548,Aero Benin,A332
22549,TRIP Linhas A,B738
22550,Pegasus Airlines,A319
22551,Primaris Airlines,B77W
22552,SOCHI AIR CHATER,B739
22553,Air Austral,B772
22554,TransMeridian Airlines,DH8D
22555,Southjet,AT76
22556,Kostromskie avialinii,A320
22557,CanJet,B763
22558,Australian Airlines,A319
22559,Aero Flight,A321
22560,Porter Airlines,A320
22561,Pacificair,AT76
22562,Hawkair,DH8D
22563,Coast Air,B772
22564,Harbour Air (Priv),B763
22565,BVI Airways,A320
22566,Pan Am World Airways Dominicana,A320
22567,Private Wings Flugcharter,B789
22568,Zuliana de Aviacion,B772
22569,Titan Airways,A333
22570,TUIfly (X3),A321
22571,KLM Royal Dutch Airlines,A388
22572,Kalitta Air,A320
22573,Cyprus Airways,A321
22574,Air Marshall Islands,AT76
22575,Ryanair,DH8D
22576,Safi Airlines,B739
22577,Air Pacific,AT75
22578,MyTravel Airways,E190
22579,Avient Aviation,E190
22580,Gazpromavia,B772
22581,Gorkha Airlines,A321
22582,First Air,B788
22583,Tom\\'s & co airliners,E170
22584,Air Pacific,CRJ9
22585,AeroRep,A388
22586,Fly Air,E190
22587,China Southern Airlines,C172
22588,Avient Aviation,B744
22589,Big Sky Airlines,B789
22590,Mavial Magadan Airlines,A388
22591,SAETA,DH8D
22592,Air Transport International,C172
22593,XAIR USA,A321
22594,VASP,A319
22595,GREAT LAKES (GX),B739
22596,Air Burkina,E190
22597,Nordeste Linhas Aereas Regionais,A332
22598,Aero VIP (2D),B744
22599,Volare Airlines,B77W
22600,Pacific Wings,DH8D
22601,Alpine Air Express,E190
22602,Germanwings,AT75
22603,Welcome Air,B752
22604,Air Hong Kong,AT76
22605,CheapFlyingInternational,B739
22606,Arctic Circle Air Service,E170
22607,Air Luxor GB,A333
22608,Moldavian Airlines,A321
22609,American Eagle Airlines,B744
22610,Air Volga,DH8D
22611,Condor Flugdienst,B739
22612,Dauair,B752
22613,Eos Airlines,A319
22614,Jatayu Airlines,CRJ9
22615,New England Airlines,C172
22616,Bulgaria Air,B738
22617,Air Cape,B744
22618,Air Pacific,A332
22619,MDLR Airlines,B752
22620,Grant Aviation,B737
22621,AirAsia,B789
22622,Carpatair,A321
22623,Med Airways,C172
22624,Zest Air,A332
22625,Zambia Skyways,B789
22626,GB Airways,A321
22627,EVA Air,A319
22628,DonbassAero,A319
22629,United Airlines,A332
22630,Sunwing Airlines,B738
22631,CheapFlyingInternational,B763
22632,Darwin Airline,B772
22633,Sun D'Or,B744
22634,Royal Brunei Airlines,B752
22635,LionXpress,A320
22636,Southern Cross Distribution,AT75
22637,Air Kiribati,A320
22638,All America US,B744
22639,Bering Air,A332
22640,Voestar,B789
22641,All Africa,A332
22642,Islands Express,B77W
22643,TUI Airlines Belgium,A332
22644,Saudi Arabian Airlines,A388
22645,Piedmont Airlines (1948-1989),A319
22646,Reno Air,C172
22647,SATA Air Acores,AT75
22648,Blue Air,B789
22649,Chitaavia,AT75
22650,Eastern Airways,DH8D
22651,Zambia Skyways,B744
22652,Golden Air,B789
22653,ELK Airways,B737
22654,Air Berlin,A333
22655,Flitestar,DH8D
22656,Paramount Airways,C172
22657,Tri-MG Intra Asia Airlines,A319
22658,Avianova (Russia),DH8D
22659,Canadian Western Airlines,B772
22660,Lombards Air,A388
22661,Héli Sécurité Helicopter Airlines,B772
22662,Viking Hellas,B744
22663,Kyrgyzstan,B789
22664,Ciao Air,B737
22665,SENIC AIRLINES,B737
22666,Seaborne Airlines,B77L
22667,Air Greenland,B77L
22668,Lineas Aereas Azteca,B738
22669,Cargo 360,C172
22670,Avialeasing Aviation Company,E190
22671,Air Contractors,E170
22672,Grant Aviation,CRJ9
22673,Vladivostok Air,B738
22674,Aeromar,B737
22675,Gandalf Airlines,B77W
22676,Wilderness Air,B772
22677,Air France,B737
22678,Thai Star Airlines,DH8D
22679,MHS Aviation GmbH,B744
22680,Open Skies Consultative Commission,E190
22681,Linea Turistica Aerotuy,B772
22682,Trans States Airlines,A332
22683,Xiamen Airlines,B737
22684,Red Wings,B77L
22685,Tramm Airlines,AT76
22686,L.A.B. Flying Service,DH8D
22687,Linea Aerea de Servicio Ejecutivo Regional,A333
22688,Continental Micronesia,B77W
22689,Buquebus Líneas Aéreas,B77L
22690,Hello,A333
22691,Varig Log,A319
22692,Domodedovo Airlines,B772
22693,Rainbow Air Canada,A319
22694,Sriwijaya Air,B752
22695,Sudan Airways,B752
22696,International Business Air,B737
22697,Catovair,B772
22698,Tiger Airways,AT76
22699,BA Connect,B752
22700,Air Caraïbes,DH8D
22701,SATA International,A333
22702,Wayraper,B744
22703,International Europe,B788
22704,Dobrolet,DH8D
22705,Air Central,C172
22706,Radixx Solutions International,B772
22707,Air Cargo Carriers,A319
22708,O'Connor Airlines,B763
22709,CHC Airways,A388
22710,Horizon Air,A321
22711,Joy Air,DH8D
22712,Eurofly Service,AT75
22713,Atyrau Air Ways,DH8D
22714,Travel Service,DH8D
22715,Juneyao Airlines,B737
22716,Grupo TACA,B77W
22717,Rainbow Air Euro,B789
22718,Maastricht Airlines,B788
22719,RegionsAir,AT76
22720,Maersk,B77L
22721,Titan Airways,B744
22722,Finnair,B77L
22723,Аэросервис,B77L
22724,Aerosvit Airlines,A321
22725,TransBrasil Airlines,E190
22726,Tunisair,B772
22727,Cebu Pacific,CRJ9
22728,Sabre,C172
22729,Palair Macedonia,B752
22730,Click (Mexicana),A388
22731,Arctic Circle Air Service,B789
22732,Air Moldova,DH8D
22733,North Flying,B788
22734,Phuket Air,B738
22735,Kharkiv Airlines,AT75
22736,Red Jet Andes,B739
22737,ITA Software,AT75
22738,Hainan Airlines,B763
22739,Executive Airlines,DH8D
22740,Golden Air,B739
22741,Tiger Airways,A332
22742,Mongolian International Air Lines ,B744
22743,Air Charter International,B744
22744,Vision Airlines (V2),E190
22745,FlyPortugal,CRJ9
22746,Spring Airlines,A320
22747,Air Gabon,B737
22748,Golden Air,E190
22749,Tavrey Airlines,AT75
22750,Iberia Airlines,B739
22751,Rainbow Air Euro,A321
22752,Hahn Air,A321
22753,Aero VIP (2D),A333
22754,JobAir,B744
22755,Island Air (WP),B77W
22756,Red Wings,A333
22757,ROYAL BRITAIN,AT75
22758,Aero Airlines,B744
22759,Dinar,A319
22760,Air Luxor GB,B752
22761,All America AR,A333
22762,British International Helicopters,B788
22763,InteliJet Airways,E170
22764,Finncomm Airlines,B788
22765,Volaris,B763
22766,Pelangi ,CRJ9
22767,Mavial Magadan Airlines,C172
22768,All Spain,B744
22769,Serbian Airlines,CRJ9
22770,Air Mauritanie,B739
22771,Cargojet Airways,E170
22772,First Choice Airways,AT76
22773,Deutsche Rettungsflugwacht,A319
22774,Scandinavian Airlines System,B772
22775,Trast Aero,A388
22776,Al-Naser Airlines,AT76
22777,Aeropelican Air Services,B737
22778,Lviv Airlines,CRJ9
22779,dba,C172
22780,ATA Airlines (Iran),B763
22781,Ozjet Airlines,DH8D
22782,Nouvel Air Tunisie,CRJ9
22783,Yangon Airways Ltd.,A333
22784,Omni Air International,DH8D
22785,VOLOTEA Airways,B738
22786,Aéris (Priv),A388
22787,Martinair,B789
22788,United Feeder Service,B752
22789,Mahfooz Aviation,AT76
22790,Danube Wings (V5),B738
22791,Axis Airways,B763
22792,Air Alps Aviation (A6),B738
22793,Astraeus,B737
22794,Finnair,B772
22795,Marsland Aviation,E170
22796,Atlantic Airways,C172
22797,Bouraq Indonesia Airlines,B739
22798,Comores Airlines,B77L
22799,Red Jet America,B752
22800,Atifly,B752
22801,Access Air,B752
22802,Martinair,B77L
22803,Maxjet Airways,B763
22804,West Air China,B789
22805,Air Jamaica,DH8D
22806,Maxjet Airways,C172
22807,Galaxy Air,C172
22808,Air Cargo Germany,A333
22809,Saratov Aviation Division,B788
22810,Homer Air,AT76
22811,Servant Air,A320
22812,United Airlines,B789
22813,Ukraine International Airlines,A320
22814,Afrinat International Airlines,B788
22815,Yangon Airways Ltd.,DH8D
22816,China Xinhua Airlines,B772
22817,Ural Airlines,AT75
22818,Private flight,A332
22819,Catovair,B788
22820,Finalair Congo,B77L
22821,Alaska Central Express,E170
22822,Albanian Airlines,DH8D
22823,Atyrau Air Ways,A321
22824,Qatar Airways,A319
22825,Volga-Dnepr Airlines,CRJ9
22826,National Air Cargo,E170
22827,Lankair,B737
22828,Baikotovitchestrian Airlines ,B77L
22829,Jetstar Asia Airways,AT75
22830,Aserca Airlines,A332
22831,Primaris Airlines,B772
22832,DHL International,B772
22833,Seaborne Airlines,B789
22834,LAN Airlines,AT75
22835,Texas Spirit,B77L
22836,Skymark Airlines,B738
22837,Brussels Airlines,B788
22838,Rio Grande Air,B738
22839,Himalayan Airlines,B77L
22840,Joy Air,B77L
22841,Aero Contractors,A388
22842,Aeroper,A320
22843,Korongo Airlines,B77L
22844,SENIC AIRLINES,B752
22845,LOT Polish Airlines,B739
22846,DAT Danish Air Transport,B772
22847,Boston-Maine Airways,B763
22848,Air Macau,B739
22849,Turkish Airlines,B763
22850,Royal Jordanian,AT76
22851,TransBrasil Airlines,B739
22852,Dana Air,B772
22853,Singapore Airlines,C172
22854,Aero-Service,B752
22855,Far Eastern Air Transport,E170
22856,Air Nippon Network Co. Ltd.,A320
22857,Air Finland,B737
22858,Avient Aviation,C172
22859,Itek Air,A320
22860,Mexicana de Aviaci,A321
22861,ABX Air,B789
22862,Gomelavia,B77W
22863,Nok Air,E190
22864,MexicanaLink,B77W
22865,Jet4You,B739
22866,TransMeridian Airlines,A320
22867,Aero-Service,B739
22868,Euro Jet,B739
22869,Line Blue,AT75
22870,Islands Nationair,B77W
22871,Ryanair,AT75
22872,Aires,B752
22873,Compass Airlines,B738
22874,Moskovia Airlines,A321
22875,Allegiant Air,DH8D
22876,JetBlue Airways,A332
22877,US Airways,B737
22878,Lion Mentari Airlines,A319
22879,Atlas Air,DH8D
22880,Hola Airlines,AT75
22881,Gulf Air Bahrain,AT75
22882,Malawian Airlines,DH8D
22883,MAT Macedonian Airlines,CRJ9
22884,Air Georgia,B752
22885,Regionalia Uruguay,B77L
22886,Yangon Airways,B772
22887,Gryphon Airlines,B789
22888,Salmon Air,B737
22889,Aero VIP (2D),A333
22890,GB Airways,B789
22891,Cimber Air,B788
22892,Kampuchea Airlines,A319
22893,Air Georgian,B763
22894,Itali Airlines,B788
22895,Air Seychelles,A320
22896,Frontier Flying Service,B738
22897,Orbit Airlines Azerbaijan,A333
22898,Turkmenistan Airlines,B77W
22899,Hellas Jet,B77W
22900,Aztec Worldwide Airlines,E170
22901,Air2there,B789
22902,Air Iceland,A388
22903,Yangon Airways,B77W
22904,Abu Dhabi Amiri Flight,AT75
22905,Air Iceland,B752
22906,Air Niugini,A320
22907,Ostfriesische Lufttransport,AT76
22908,National Jet Systems,B744
22909,Seaborne Airlines,E170
22910,Nile Air,B737
22911,Condor Flugdienst,B77L
22912,Intersky,B789
22913,Keystone Air Services,A388
22914,Skyways Express,AT75
22915,Travel Service,C172
22916,Air Madrid,C172
22917,Atlantic Air Cargo,C172
22918,Cyprus Turkish Airlines,B739
22919,VIA Rail Canada,B752
22920,ABX Air,A321
22921,Lufttaxi Fluggesellschaft,B738
22922,LSM AIRLINES ,AT76
22923,Comair,A388
22924,Zoom Airlines,E190
22925,Air Class Lineas Aereas,A333
22926,Air France,CRJ9
22927,Siren-Travel,B737
22928,Sky Express,AT75
22929,Rwandair Express,A321
22930,Austrian Airlines,B739
22931,Hainan Phoenix Information Systems,B788
22932,Asian Wings Airways,A320
22933,Virginwings,B737
22934,Air Glaciers,A333
22935,Corse-Mediterranee,B737
22936,Norwegian Long Haul AS,B763
22937,Sriwijaya Air,CRJ9
22938,International Europe,B744
22939,JSC Transport Automated Information Systems,A320
22940,Abelag Aviation,DH8D
22941,Executive Airlines,B77W
22942,National Jet Systems,A320
22943,Harmony Airways,B77L
22944,Calima Aviacion,B738
22945,TransHolding System,B788
22946,Royal Airlines,E190
22947,Aeroflot-Don,A333
22948,BudgetAir,A333
22949,Air Choice One,A388
22950,Finncomm Airlines,B788
22951,Royal Jordanian,B739
22952,Volotea Costa Rica,B738
22953,Dauair,CRJ9
22954,LAN Airlines,A321
22955,Air Salone,A333
22956,Rainbow Air (RAI),B739
22957,Air Guinee Express,E170
22958,Sama Airlines,E190
22959,Porter Airlines,B744
22960,Deutsche Bahn,B772
22961,GoDutch,B763
22962,Gambia International Airlines,A320
22963,SkyKing Turks and Caicos Airways,B739
22964,Viva Macau,B738
22965,Harbour Air (Priv),C172
22966,Aviabus,A319
22967,Sunwing Airlines,B788
22968,Aviaexpress,B788
22969,Air Horizon,B744
22970,Tyrolean Airways,AT75
22971,DAT Danish Air Transport,C172
22972,California Western,B744
22973,Metro Batavia,B772
22974,Linea Aerea SAPSA,B77L
22975,Air Senegal International,B739
22976,Korongo Airlines,B738
22977,Pan Am World Airways Dominicana,B738
22978,SAETA,B788
22979,Northern Air Cargo,B788
22980,Air Transport International,A388
22981,QatXpress,AT75
22982,Flybaboo,A320
22983,LAN Airlines,B77W
22984,Pamir Airways,B752
22985,Antrak Air,E170
22986,Hi Fly,B772
22987,Maldivo Airlines,B763
22988,Bangkok Airways,B772
22989,Comair,B763
22990,Air Bourbon,B77L
22991,Afrinat International Airlines,DH8D
22992,TUIfly (X3),E170
22993,Edelweiss Air,AT76
22994,Galileo International,A319
22995,Air Afrique,A319
22996,Spike Airlines,A321
22997,Royal Brunei Airlines,B737
22998,Baltic Air lines,B77W
22999,Turkish Airlines,B738
23000,Thai AirAsia,B752
23001,VIA Rail Canada,E170
23002,Qatar Airways,B738
23003,Lviv Airlines,B77W
23004,Peninsula Airways,B789
23005,NextJet,B788
23006,Saudi Arabian Airlines,AT75
23007,Jett8 Airlines Cargo,A388
23008,Domenican Airlines,E190
23009,Independence Air,B752
23010,Mahfooz Aviation,CRJ9
23011,Aviaexpress,AT75
23012,Rainbow Air (RAI),B789
23013,TransHolding System,E170
23014,Deutsche Luftverkehrsgesellschaft (DLT),B737
23015,Berjaya Air,B738
23016,Haiti Ambassador Airlines,DH8D
23017,CHC Airways,B772
23018,Fly Romania,A320
23019,Air Class Lineas Aereas,B789
23020,Far Eastern Air Transport,A319
23021,Aztec Worldwide Airlines,B77L
23022,Omskavia Airline,A321
23023,Cook Island Air,C172
23024,Uzbekistan Airways,E170
23025,Arik Air,AT75
23026,Asian Express Airlines,E170
23027,Martinair,A321
23028,Air One,AT76
23029,U.S. Air,B77L
23030,Héli Sécurité Helicopter Airlines,B739
23031,dba,B744
23032,Maxair,B738
23033,FlyLal,A388
23034,Luchsh Airlines ,A320
23035,Cape Air,B752
23036,Air Sicilia,AT75
23037,MNG Airlines,A388
23038,Harbor Airlines,E190
23039,Chicago Express,B739
23040,Itek Air,B738
23041,Copa Airlines,C172
23042,Cebu Pacific,B752
23043,Air Bangladesh,B763
23044,Kuban Airlines,B77W
23045,40-Mile Air,A333
23046,Aero-Service,B739
23047,Kyrgyzstan Airlines,E170
23048,B&H Airlines,E170
23049,Blue Wings,A321
23050,KMV,A388
23051,Zambia Skyways,B763
23052,GoJet Airlines,A319
23053,Hello,E190
23054,Conviasa,B744
23055,Euro Harmony,A320
23056,Tomp Airlines,AT76
23057,Japan Air System,A319
23058,Air Kiribati,B77W
23059,Gulisano airways,B77L
23060,Barents AirLink,B77W
23061,Polyot Sirena,B737
23062,Air Zimbabwe,B744
23063,Maldivian,B737
23064,United Airways,A388
23065,LAN Express,A320
23066,Himalayan Airlines,B763
23067,Korean Air,E190
23068,Aereonautica militare,B737
23069,Santa Barbara Airlines,A321
23070,SeaPort Airlines,CRJ9
23071,El Al Israel Airlines,E190
23072,United Feeder Service,B739
23073,Air Mozambique,A319
23074,Avies,A333
23075,Mandala Airlines,B789
23076,Polynesian Blue,AT76
23077,Albanian Airlines,B752
23078,Jetstar Asia Airways,B744
23079,TransHolding,A388
23080,Airborne Express,B763
23081,BusinessAir,B739
23082,Solomon Airlines,B772
23083,All America AR,AT75
23084,Virgin Atlantic Airways,A320
23085,TAM Brazilian Airlines,A388
23086,International AirLink,E190
23087,Regionalia Uruguay,E190
23088,Himalayan Airlines,B789
23089,Georgian National Airlines,DH8D
23090,Northwestern Air,DH8D
23091,SunExpress,C172
23092,Spirit Airlines,B789
23093,Pacificair,B737
23094,Ansett Australia,B738
23095,Kenmore Air,AT75
23096,LionXpress,A333
23097,Tarom,A332
23098,Sun Country Airlines,A319
23099,Aeromar,A319
23100,Jat Airways,B744
23101,Black Stallion Airways,A333
23102,Private flight,A332
23103,Futura International Airways,B77W
23104,Air Glaciers,B789
23105,Yunnan Airlines,A388
23106,Air Bourbon,A321
23107,North Flying,B739
23108,All America AR,AT76
23109,Sriwijaya Air,A333
23110,Pamir Airways,B763
23111,Aeroline GmbH,E170
23112,China Northern Airlines,B763
23113,Welcome Air,B737
23114,Islands Nationair,AT75
23115,Annsett New Zealand (NZA),B738
23116,Air Berlin,B772
23117,Darwin Airline,A319
23118,Strategic Airlines,A321
23119,New England Airlines,AT75
23120,PAN Air,B772
23121,Swe Fly,CRJ9
23122,WebJet Linhas A,DH8D
23123,Avensa,A319
23124,Air Sinai,B77L
23125,Surinam Airways,B739
23126,Atlantis European Airways,B739
23127,Locair,B77L
23128,Royal Khmer Airlines,B763
23129,Fly Brasil,A321
23130,MNG Airlines,B752
23131,Air Horizon,CRJ9
23132,Nazca,B789
23133,Aero Condor Peru,A319
23134,Panafrican Airways,A319
23135,Lufthansa,E190
23136,Sharp Airlines,B738
23137,Air Cape,A332
23138,Tulip Air,C172
23139,LionXpress,AT76
23140,Singapore Airlines,CRJ9
23141,Superior Aviation,E170
23142,Krasnojarsky Airlines,B77L
23143,Air Transat,B737
23144,VRG Linhas Aereas,B77W
23145,SNCF,E170
23146,Aviabus,C172
23147,Scorpio Aviation,B744
23148,Norte Lineas Aereas,B772
23149,Wings of Alaska,B772
23150,Baikotovitchestrian Airlines ,E170
23151,Island Spirit,DH8D
23152,Aero VIP (2D),B744
23153,Air Santo Domingo,B789
23154,Aer Arann,C172
23155,Transeuropean Airlines,A320
