fid,arrivalTime,departureTime,destination,departure,registrationNumber
GB3412,2020-06-27 14:05:19,2020-06-26 18:05:19,Guemar Airport,Ada Regional Airport,6757
S83413,2023-11-02 08:14:49,2023-11-02 05:14:49,Prentice Airport,Chandalar Lake Airport,27539
BN3414,2023-10-12 10:09:31,2023-10-12 09:09:31,Herrera Airport,Fullerton Municipal Airport,3754
Y93415,2021-02-01 03:24:30,2021-01-31 18:24:30,Waterfall Seaplane Base,Southern Seaplane Airport,20707
RX3416,2020-12-02 06:45:13,2020-12-01 09:45:13,Manas International Airport,Bali Airport,22691
5G3417,2020-08-22 13:56:59,2020-08-21 17:56:59,Sardar-e-Jangal Airport,Northwest Arkansas Regional Airport,23963
АЯ3418,2022-09-22 19:02:37,2022-09-22 13:02:37,Valesdir Airport,Greene County Airport,7505
BU3419,2020-05-22 02:43:41,2020-05-21 13:43:41,Nîmes-Arles-Camargue Airport,Empangeni Airport,18531
XS3420,2021-02-13 11:19:04,2021-02-12 21:19:04,Ástor Piazzola International Airport,Juwata Airport,23275
8D3421,2023-03-06 18:38:16,2023-03-05 18:38:16,Geilenkirchen Air Base,Rennell/Tingoa Airport,19323
GG3422,2022-06-06 10:24:48,2022-06-06 02:24:48,Golden Horn Lodge Seaplane Base,Yakataga Airport,24410
QI3423,2020-05-16 07:35:44,2020-05-15 23:35:44,Tabal Airstrip,Acadiana Regional Airport,9991
4X3424,2020-01-27 01:09:25,2020-01-26 14:09:25,Ciudad Obregón International Airport,Daugavpils Intrenational Airport,12342
W33425,2022-06-22 18:43:29,2022-06-22 13:43:29,Malmstrom Air Force Base,Amsterdam Airport Schiphol,15875
VC3426,2023-06-11 12:07:55,2023-06-10 15:07:55,Lydd Airport,Carlos Miguel Gimenez Airport,3087
H23427,2021-12-26 15:59:43,2021-12-26 02:59:43,Braga Municipal Aerodrome,Jenpeg Airport,1242
GY3428,2020-01-06 15:55:23,2020-01-05 23:55:23,Narita International Airport,Oro Negro Airport,5159
IJ3429,2023-08-20 17:42:41,2023-08-20 02:42:41,Morlaix-Ploujean Airport,Latrobe Airport,21953
ZF3430,2020-01-18 19:08:07,2020-01-18 00:08:07,Debrecen International Airport,Sanhe Airport,23330
EQ3431,2023-08-08 09:05:35,2023-08-08 08:05:35,Kryvyi Rih International Airport,Bluefields Airport,7827
NP3432,2021-04-20 05:15:02,2021-04-19 17:15:02,Allakaket Airport,Northeast Alabama Regional Airport,11020
BP3433,2021-01-25 02:31:05,2021-01-24 16:31:05,Ganzhou Airport,Médouneu Airport,15092
R93434,2021-08-09 14:13:22,2021-08-09 13:13:22,Jwaneng Airport,Tenente Lund Pressoto Airport,9373
H83435,2022-12-20 13:16:16,2022-12-19 13:16:16,Valle del Fuerte International Airport,Tulsipur Airport,21433
J73436,2021-01-13 20:00:34,2021-01-13 19:00:34,Enyu Airfield,Ranong Airport,6863
EX3437,2022-01-03 00:06:52,2022-01-02 15:06:52,Thompson-Robbins Airport,Sochi International Airport,2014
VM3438,2020-06-03 11:09:15,2020-06-03 11:09:15,Wipim Airport,Young Airport,24378
5B3439,2022-11-05 15:04:33,2022-11-05 06:04:33,Bamburi Airport,First Flight Airport,7140
LH3440,2023-05-22 03:54:58,2023-05-21 04:54:58,Danilo Atienza Air Base,Morafenobe Airport,15060
LT3441,2022-05-31 03:00:41,2022-05-31 00:00:41,Kelani-Peliyagoda Seaplane Base,Munduku Airport,18259
693442,2023-08-17 17:05:03,2023-08-17 04:05:03,Olive Branch Airport,Yaoundé Airport,23364
5Q3443,2021-04-30 07:43:56,2021-04-30 06:43:56,Manas International Airport,Maverick County Memorial International Airport,7416
FS3444,2022-05-27 21:23:19,2022-05-26 23:23:19,Oakey Airport,Zilfi Airport,17858
9Y3445,2023-11-10 00:45:59,2023-11-09 19:45:59,Humbert River Airport,Cauquira Airport,5020
VW3446,2020-10-11 15:50:53,2020-10-11 15:50:53,Machu Pichu Airport,Exeter International Airport,17211
EX3447,2021-04-18 22:46:54,2021-04-18 07:46:54,Philadelphia Seaplane Base,Quanzhou Jinjiang International Airport,8283
MY3448,2021-10-22 10:02:22,2021-10-22 06:02:22,Astana International Airport,Kununurra Airport,6874
SY3449,2021-07-24 06:02:05,2021-07-23 23:02:05,Chaoyang Airport,Kalamata Airport,17492
PI3450,2023-09-16 05:14:20,2023-09-15 16:14:20,Marechal Cunha Machado International Airport,Martinique Aimé Césaire International Airport,5578
KU3451,2020-01-22 10:04:08,2020-01-21 14:04:08,Zhoushan Airport,Mareb Airport,19813
G23452,2020-04-09 12:58:16,2020-04-09 02:58:16,Alto Molocue Airport,Pori Airport,17580
SH3453,2020-04-01 02:46:17,2020-03-31 14:46:17,Al Thaurah Airport,Alberto Delgado Airport,27918
KG3454,2021-03-16 22:00:39,2021-03-15 23:00:39,Rennes-Saint-Jacques Airport,Sugar Land Regional Airport,24604
6N3455,2021-07-29 13:34:37,2021-07-29 05:34:37,Bultfontein Airport,Mechanics Bay Heliport,14082
LA3456,2023-10-17 12:25:43,2023-10-17 10:25:43,La Crosse Municipal Airport,Tokachi-Obihiro Airport,2920
OI3457,2023-07-06 23:02:10,2023-07-06 15:02:10,Narathiwat Airport,Al Wajh Domestic Airport,8641
H13458,2022-04-17 17:46:37,2022-04-17 02:46:37,Bakel Airport,RAF Northolt,25207
GG3459,2021-01-02 06:33:40,2021-01-02 02:33:40,Roscoe Turner Airport,Malikus Saleh Airport,14991
SQ3460,2021-03-01 17:09:02,2021-02-28 18:09:02,Wamena Airport,Narsarsuaq Airport,9602
7L3461,2022-07-13 01:59:02,2022-07-13 00:59:02,Suceava Stefan cel Mare Airport,Doini Airport,20844
KN3462,2020-09-27 03:44:15,2020-09-26 05:44:15,Boswell Bay Airport,Datong Airport,12661
8P3463,2023-08-17 04:01:43,2023-08-16 15:01:43,Flotta Isle Airport,Albi-Le Séquestre Airport,12426
EU3464,2020-10-28 09:35:18,2020-10-28 04:35:18,Maitland Airport,Bisbee Municipal Airport,23789
H33465,2021-04-06 11:42:37,2021-04-06 00:42:37,RAF Lossiemouth,Elazığ Airport,24864
IK3466,2023-01-23 19:17:15,2023-01-23 08:17:15,Luozi Airport,Martin Miguel De Guemes International Airport,2137
YM3467,2020-02-01 18:46:12,2020-02-01 11:46:12,Matsu Nangan Airport,Arapiraca Airport,10782
IG3468,2023-01-01 01:53:26,2022-12-31 08:53:26,Bukoba Airport,Ama Airport,11238
GW3469,2021-06-07 22:26:16,2021-06-07 21:26:16,Selbang Airport,Robinvale Airport,4101
8C3470,2020-09-20 08:11:20,2020-09-19 21:11:20,Furnace Creek Airport,Cape Pole Seaplane Base,16878
6Y3471,2022-01-18 22:29:18,2022-01-18 03:29:18,Torrejón Airport,Chicago Midway International Airport,25218
YT3472,2023-02-27 13:23:11,2023-02-26 17:23:11,Roper Bar Airport,Santa Ana Airport,17469
B43473,2021-11-25 05:13:18,2021-11-24 08:13:18,General Santos International Airport,Aeroclube Airport,2546
IH3474,2021-09-01 17:50:54,2021-08-31 20:50:54,Licenciado Manuel Crescencio Rejon Int Airport,Avignon-Caumont Airport,18066
ID3475,2020-04-01 14:51:39,2020-03-31 15:51:39,Sardar Vallabhbhai Patel International Airport,Williamsport Regional Airport,9080
K83476,2021-08-03 13:31:30,2021-08-03 11:31:30,Taraz Airport,Aden International Airport,26243
7B3477,2020-11-12 05:21:51,2020-11-11 17:21:51,Baytown Airport,Bria Airport,25330
SI3478,2022-04-09 03:30:58,2022-04-08 23:30:58,Tanah Grogot Airport,Nepalgunj Airport,13396
R43479,2021-10-16 11:52:25,2021-10-15 22:52:25,Sarasota Bradenton International Airport,Durham Tees Valley Airport,22236
PC3480,2023-03-03 08:58:23,2023-03-02 19:58:23,Yichang Sanxia Airport,Zapatoca Airport,24795
QY3481,2023-05-24 17:23:21,2023-05-23 22:23:21,Lonorore Airport,Ardabil Airport,6499
S23482,2023-01-18 01:52:36,2023-01-17 01:52:36,Barrow Island Airport,Begishevo Airport,23946
QI3483,2023-03-06 15:08:33,2023-03-06 09:08:33,Alice International Airport,Igrim Airport,6467
HN3484,2022-01-25 16:13:57,2022-01-24 21:13:57,Miramar Marine Corps Air Station - Mitscher Field,Libenge Airport,882
PQ3485,2022-09-02 16:32:39,2022-09-01 19:32:39,Oiapoque Airport,Indulkana Airport,11534
VI3486,2021-02-14 15:02:18,2021-02-13 19:02:18,Momote Airport,Bora Bora Airport,23430
BR3487,2021-01-03 04:48:40,2021-01-02 05:48:40,Loring International Airport,Kagi Airport,12959
4C3488,2021-01-13 22:02:43,2021-01-13 09:02:43,Chatham Seaplane Base,Sibiti Airport,25011
BN3489,2023-06-13 19:47:28,2023-06-13 07:47:28,Lawrenceville Vincennes International Airport,Kautokeino Air Base,3313
RX3490,2021-11-10 08:00:58,2021-11-09 14:00:58,Witu Airport,Whyalla Airport,3174
NC3491,2023-10-01 16:04:16,2023-09-30 23:04:16,McCarran International Airport,Saint-Laurent-du-Maroni Airport,20961
ZN3492,2020-07-19 11:44:15,2020-07-19 11:44:15,Kennett Memorial Airport,Tambao Airport,15583
B13493,2021-03-05 11:38:34,2021-03-04 12:38:34,Bhojpur Airport,Red Dog Airport,19898
CN3494,2020-10-02 08:03:33,2020-10-02 05:03:33,Krainiy Airport,RAF Mildenhall,19202
9I3495,2021-04-19 07:54:10,2021-04-18 18:54:10,Toowoomba Wellcamp Airport,Mareb Airport,20581
PK3496,2023-12-01 08:00:32,2023-12-01 03:00:32,Bursa Airport,Horn Island Airport,159
N93497,2020-12-26 02:37:48,2020-12-25 23:37:48,Abingdon Downs Airport,Daporijo Airport,9011
PS3498,2022-02-10 16:42:40,2022-02-10 07:42:40,Kalaupapa Airport,Chan Gurney Municipal Airport,17544
G13499,2022-07-12 14:16:42,2022-07-11 14:16:42,Vichy-Charmeil Airport,New Bight Airport,7398
NW3500,2021-09-28 08:03:03,2021-09-27 19:03:03,Dodge City Regional Airport,Middlemount Airport,4771
U23501,2021-12-09 08:04:49,2021-12-08 13:04:49,Governador Jorge Teixeira de Oliveira Airport,Francisco de Sá Carneiro Airport,7609
8C3502,2023-01-02 04:57:50,2023-01-02 03:57:50,Narsarsuaq Airport,Puerto Jimenez Airport,25036
TQ3503,2022-08-13 13:27:59,2022-08-13 13:27:59,Changhai Airport,Lawrence J Timmerman Airport,2938
OL3504,2022-06-27 08:40:25,2022-06-26 20:40:25,Easton Newnam Field,Pukatawagan Airport,19313
TQ3505,2022-11-15 21:42:46,2022-11-15 11:42:46,Palm Springs International Airport,Çanakkale Airport,19560
MR3506,2022-07-22 04:26:26,2022-07-21 11:26:26,Borkum Airport,Bugulma Airport,1433
EV3507,2022-10-30 19:37:14,2022-10-30 03:37:14,Jackpot Airport/Hayden Field,Murray Field,14060
S73508,2020-03-12 17:50:36,2020-03-12 17:50:36,Hoonah Airport,Mchauru Airport,17410
RW3509,2022-08-10 22:34:50,2022-08-10 01:34:50,Mount Sanford Station Airport,Venice Marco Polo Airport,14468
HJ3510,2022-01-09 02:19:43,2022-01-08 21:19:43,Papa Westray Airport,Bolovip Airstrip,272
1C3511,2021-11-18 11:37:48,2021-11-17 11:37:48,Khatgal Airport,Sonari Airport,16101
GV3512,2021-07-31 10:21:49,2021-07-31 03:21:49,Andizhan Airport,Lago Argentino Airport,16731
GY3513,2020-05-29 17:55:29,2020-05-29 16:55:29,Pangsuma Airport,Bhadrapur Airport,12989
1M3514,2023-03-09 17:15:59,2023-03-08 17:15:59,Seymour Johnson Air Force Base,Sunchales Aeroclub Airport,18862
R13515,2021-11-19 06:16:11,2021-11-19 03:16:11,San Luis County Regional Airport,Aalborg Airport,7393
MY3516,2023-01-27 22:58:44,2023-01-27 09:58:44,Hamilton Airport,Castaway Island Seaplane Base,17063
OS3517,2020-09-22 10:11:41,2020-09-22 02:11:41,Toksook Bay Airport,Ware Airport,25400
CY3518,2021-11-29 15:19:21,2021-11-29 02:19:21,Misawa Air Base,Paderborn Lippstadt Airport,20865
RO3519,2022-07-19 21:45:09,2022-07-19 07:45:09,Silver Creek Airport,Tehachapi Municipal Airport,19375
1F3520,2021-11-16 06:19:10,2021-11-15 08:19:10,El Palomar Airport,Umbu Mehang Kunda Airport,10761
VC3521,2023-09-20 12:06:42,2023-09-20 09:06:42,Tadjoura Airport,Faa'a International Airport,14532
EE3522,2020-07-30 09:34:04,2020-07-29 09:34:04,Santa Rosa De Yacuma Airport,Kurumoch International Airport,15435
LD3523,2022-08-28 15:22:35,2022-08-27 16:22:35,Delta County Airport,Kopitnari Airport,25159
2F3524,2020-09-23 16:08:42,2020-09-23 12:08:42,Sundsvall-Härnösand Airport,Cesar Lim Rodriguez Airport,3643
YW3525,2023-06-22 11:35:02,2023-06-22 01:35:02,Ísafjörður Airport,Pontes e Lacerda Airport,19084
L33526,2021-07-24 17:33:59,2021-07-24 11:33:59,Sulaco Airport,Delta Junction Airport,15372
XP3527,2023-09-17 01:27:16,2023-09-16 17:27:16,Sky Harbor Airport,Sand Creek Airport,7757
BZ3528,2022-05-24 09:29:58,2022-05-24 00:29:58,Godofredo P. Ramos Airport,Chimbu Airport,12256
GB3529,2020-11-04 21:36:21,2020-11-03 22:36:21,Lissadell Airport,Cornélio Procópio Airport,25560
V03530,2020-12-22 06:42:17,2020-12-21 08:42:17,Canandaigua Airport,Eveleth Virginia Municipal Airport,27480
ZU3531,2020-05-27 10:06:33,2020-05-26 20:06:33,Sepulot Airport,Jim Hamilton L.B. Owens Airport,5341
W73532,2021-07-31 20:07:04,2021-07-31 17:07:04,Bartlett Cove Seaplane Base,Barisal Airport,25021
C13533,2021-05-25 08:09:40,2021-05-24 11:09:40,Ölgii Airport,Taroom Airport,8338
FH3534,2022-05-20 08:56:20,2022-05-19 15:56:20,Newton City-County Airport,Shah Amanat International Airport,19731
UF3535,2020-04-14 12:45:55,2020-04-14 00:45:55,Ottumwa Regional Airport,Lübeck Blankensee Airport,24555
S13536,2021-04-04 21:02:30,2021-04-04 06:02:30,Taisha Airport,General Servando Canales International Airport,19096
JY3537,2023-03-07 04:10:42,2023-03-06 20:10:42,Martha's Vineyard Airport,Staniel Cay Airport,21045
JE3538,2021-10-15 12:49:18,2021-10-15 09:49:18,Twentynine Palms Airport,W K Kellogg Airport,22929
4A3539,2021-12-01 10:21:09,2021-11-30 12:21:09,Sir Bani Yas Airport,Augusta Regional At Bush Field,23264
2D3540,2023-08-25 17:43:25,2023-08-25 16:43:25,High Prairie Airport,Fairfield Municipal Airport,12922
J23541,2020-10-02 19:54:17,2020-10-02 16:54:17,Oram Airport,Jesús Terán Paredo International Airport,20827
RA3542,2022-01-12 16:44:30,2022-01-11 18:44:30,Kanti Airport,Naknek Airport,8043
YQ3543,2021-08-07 12:13:27,2021-08-07 08:13:27,Waterford Airport,Numbulwar Airport,17261
YE3544,2022-09-18 02:41:29,2022-09-17 02:41:29,Västervik Airport,Maya-Maya Airport,2540
LB3545,2023-07-09 00:07:46,2023-07-08 00:07:46,Jequié Airport,Ben Slimane Airport,27594
??3546,2020-05-08 09:55:04,2020-05-08 01:55:04,C David Campbell Field Corsicana Municipal Airport,Worland Municipal Airport,16798
G83547,2020-10-12 09:03:54,2020-10-11 09:03:54,Hornafjörður Airport,Söderhamn Airport,24820
FY3548,2021-06-16 04:36:41,2021-06-15 15:36:41,Gore Bay Manitoulin Airport,Faa'a International Airport,15228
I83549,2021-02-14 01:05:53,2021-02-13 04:05:53,Xiangyang Liuji Airport,North Central State Airport,5883
6Q3550,2023-10-09 04:36:23,2023-10-08 11:36:23,Evansville Regional Airport,Baltrum Airport,794
JI3551,2023-01-04 11:51:08,2023-01-03 17:51:08,Norfolk Naval Station (Chambers Field),Xinyuan Nalati Airport,19016
FX3552,2022-08-30 05:38:23,2022-08-29 05:38:23,Kaili Airport,Oscoda Wurtsmith Airport,3120
ZY3553,2020-06-26 23:07:26,2020-06-26 19:07:26,Hamilton International Airport,Jefferson Municipal Airport,1115
7B3554,2020-03-22 20:07:50,2020-03-22 15:07:50,Ruse Airport,Uroubi Airport,4060
8Q3555,2021-02-24 11:18:34,2021-02-23 18:18:34,Sambailo Airport,Linden Airport,3415
GU3556,2020-05-26 15:39:23,2020-05-26 12:39:23,Los Chiles Airport,Lake County Airport,1732
XO3557,2023-02-09 10:53:32,2023-02-09 10:53:32,Danbury Municipal Airport,Vicenza Airport,5406
W23558,2023-04-30 17:02:54,2023-04-29 23:02:54,Mareb Airport,Lavan Island Airport,1275
BP3559,2023-06-25 01:07:12,2023-06-24 09:07:12,Kishangarh Airport,Brookhaven Airport,12645
9R3560,2020-06-24 10:01:18,2020-06-23 21:01:18,Sabu-Tardanu Airport,Enarotali Airport,8432
IL3561,2021-07-02 05:13:53,2021-07-01 07:13:53,Kindamba Airport,Tela Airport,13218
JS3562,2020-10-23 00:22:26,2020-10-22 15:22:26,Brisbane Archerfield Airport,L O Simenstad Municipal Airport,5753
RJ3563,2020-01-28 10:51:33,2020-01-28 06:51:33,Jinja Airport,Djibouti-Ambouli Airport,16826
1H3564,2020-05-26 07:46:27,2020-05-26 05:46:27,Phoenix Deer Valley Airport,Gamboa Airport,27638
E03565,2023-08-15 19:26:39,2023-08-15 07:26:39,Pilanesberg International Airport,Norderney Airport,15030
JR3566,2021-10-13 00:38:04,2021-10-12 05:38:04,Capitan Montes Airport,Benina International Airport,7865
SI3567,2021-07-20 02:59:38,2021-07-19 18:59:38,Paz De Ariporo Airport,Lesobeng Airport,12074
SL3568,2021-07-08 05:40:46,2021-07-08 00:40:46,General Abelardo L. Rodríguez International Airport,Christmas Creek Station Airport,961
LU3569,2023-09-01 01:55:53,2023-08-31 04:55:53,Nanning Wuxu Airport,Muanda Airport,7481
1K3570,2023-09-29 20:58:49,2023-09-29 00:58:49,San Ignacio Airport,Nantes Atlantique Airport,5636
PQ3571,2021-09-11 15:24:42,2021-09-11 01:24:42,Ulan-Ude Airport (Mukhino),Augusta Regional At Bush Field,23322
2L3572,2021-06-12 16:00:11,2021-06-11 22:00:11,Shangrao Sanqingshan Airport,Tauranga Airport,4195
4R3573,2023-05-21 20:53:53,2023-05-21 03:53:53,Sarajevo International Airport,Rochefort-Saint-Agnant (BA 721) Airport,8117
TX3574,2021-12-05 15:09:17,2021-12-05 07:09:17,Kobuk Airport,Fergus Falls Municipal Airport - Einar Mickelson Field,11876
DI3575,2022-01-13 06:49:21,2022-01-12 11:49:21,Queenstown Airport,Kaadedhdhoo Airport,921
123576,2023-08-10 10:05:07,2023-08-09 15:05:07,Yasser Arafat International Airport,Licenciado y General Ignacio Lopez Rayon Airport,25041
IJ3577,2023-11-25 22:19:39,2023-11-25 12:19:39,Los Banos Municipal Airport,Marion Municipal Airport,5971
GB3578,2023-01-23 04:05:57,2023-01-22 08:05:57,Center Island Airport,Valle Del Conlara International Airport,18056
SH3579,2020-04-13 22:03:32,2020-04-13 00:03:32,Easton State Airport,"Foggia ""Gino Lisa"" Airport",5436
RH3580,2021-07-22 04:51:02,2021-07-21 13:51:02,Luxembourg-Findel International Airport,Mtwara Airport,2205
S63581,2023-11-26 13:36:34,2023-11-26 05:36:34,Bantry Aerodrome,Billy Mitchell Airport,17484
JI3582,2020-11-08 23:47:48,2020-11-08 13:47:48,Fond du Lac County Airport,Brigadeiro Camarão Airport,15632
SG3583,2021-05-15 21:43:41,2021-05-15 08:43:41,Sir Grantley Adams International Airport,Sierra Maestra Airport,15642
OG3584,2023-11-22 19:10:38,2023-11-22 06:10:38,Wonken Airport,Shimojishima Airport,27847
A33585,2023-10-25 05:18:07,2023-10-24 16:18:07,Belbek Airport,Margaret River (Station) Airport,3741
EN3586,2020-03-14 05:14:47,2020-03-14 01:14:47,Monterrey Airport,St. Theresa Point Airport,12274
W43587,2020-01-19 19:19:23,2020-01-19 12:19:23,Namrole Airport,Porter County Municipal Airport,22248
BB3588,2023-03-23 12:32:35,2023-03-22 21:32:35,Confresa Airport,Wave Hill Airport,27885
ON3589,2020-07-15 12:51:50,2020-07-14 22:51:50,Cloncurry Airport,Ust-Ilimsk Airport,13341
CB3590,2022-02-26 08:41:48,2022-02-25 17:41:48,Graz Airport,Soledade Airport,19833
W13591,2023-07-11 09:08:23,2023-07-10 19:08:23,Bristol Filton Airport,Baie Comeau Airport,11857
6D3592,2021-05-28 07:50:45,2021-05-27 21:50:45,Grundarfjörður Airport,Sterling Municipal Airport,3147
RO3593,2021-11-21 11:36:22,2021-11-20 12:36:22,Fazenda Constância Airport,Yokota Air Base,12518
J23594,2022-04-29 19:34:52,2022-04-29 07:34:52,Presidente Prudente Airport,Tupile Airport,7537
QI3595,2020-06-27 03:17:27,2020-06-26 07:17:27,Gemena Airport,Kamberatoro Airport,18273
TL3596,2023-05-12 03:06:16,2023-05-12 02:06:16,Alma Airport,St Thomas Municipal Airport,4962
AW3597,2022-02-19 01:05:20,2022-02-18 08:05:20,Carrasco International /General C L Berisso Airport,Limpopo Valley Airport,1056
DI3598,2021-01-16 07:10:00,2021-01-15 22:10:00,Argyle Airport,Novy Urengoy Airport,23313
AK3599,2020-03-21 23:30:10,2020-03-21 12:30:10,Columbia Airport,Al-Jawf Domestic Airport,4087
HW3600,2022-11-03 14:59:16,2022-11-03 13:59:16,Phanom Sarakham Airport,Hope Airport,15445
QZ3601,2020-05-05 17:57:19,2020-05-04 20:57:19,Palm Beach County Park Airport,Laguindingan Airport,12338
VA3602,2020-02-10 02:40:08,2020-02-09 23:40:08,Arathusa Safari Lodge Airport,Juan Mendoza Airport,12434
RN3603,2023-10-13 12:41:30,2023-10-12 16:41:30,Lese Airport,La Chorrera Airport,26798
G33604,2022-07-30 04:31:23,2022-07-29 14:31:23,Area De Material Airport,Olbia Costa Smeralda Airport,25957
S13605,2020-07-21 22:34:05,2020-07-21 21:34:05,Ambohibary Airport,Charles M. Schulz Sonoma County Airport,24990
XW3606,2022-08-10 01:49:09,2022-08-09 07:49:09,Imsık Airport,Zaraza Airport,6546
Z33607,2021-05-10 17:44:30,2021-05-10 08:44:30,Stara Zagora Airport,Perito Moreno Airport,2621
G73608,2021-05-30 04:27:07,2021-05-29 13:27:07,Attawapiskat Airport,Lehigh Valley International Airport,22837
Q43609,2021-04-25 08:38:25,2021-04-24 19:38:25,Imperial Municipal Airport,Ubari Airport,9793
6Z3610,2021-06-07 10:47:02,2021-06-07 02:47:02,Resolute Bay Airport,Bekily Airport,5648
XP3611,2023-09-25 14:02:53,2023-09-25 13:02:53,Knox County Regional Airport,Capt Justiniano Montenegro Airport,10777
G43612,2021-07-17 19:23:11,2021-07-17 17:23:11,Monte Santo de Minas Airport,Kontum Airport,1025
2A3613,2020-06-13 04:23:41,2020-06-12 04:23:41,Kitsissuarsuit Heliport,Sulphur Springs Municipal Airport,17443
OA3614,2023-05-05 02:26:43,2023-05-05 02:26:43,Nightmute Airport,Waris Airport,14888
B03615,2022-02-27 00:28:34,2022-02-26 20:28:34,Sfax Thyna International Airport,Suai Airport,10480
CF3616,2023-12-02 18:55:59,2023-12-02 15:55:59,Jieyang Chaoshan International Airport,Changhai Airport,13281
VU3617,2021-02-05 14:52:14,2021-02-04 16:52:14,Pobedilovo Airport,Canaima Airport,6371
GI3618,2020-09-26 15:23:48,2020-09-26 00:23:48,Central Wisconsin Airport,Qarn Alam Airport,20351
B23619,2022-03-22 06:39:57,2022-03-21 13:39:57,Taoxian Airport,Ihosy Airport,17477
JG3620,2021-02-27 22:03:22,2021-02-27 13:03:22,Sócrates Rezende Airport,Abraham Lincoln Capital Airport,7245
E83621,2020-07-02 20:18:39,2020-07-02 04:18:39,Colonia Sarmiento Airport,Pakse International Airport,24762
P83622,2022-08-01 13:29:33,2022-08-01 02:29:33,Yuba County Airport,Dane County Regional Truax Field,15135
GX3623,2023-07-08 06:27:54,2023-07-07 14:27:54,Hagfors Airport,Caviahue Airport,20729
5K3624,2021-12-12 07:58:40,2021-12-12 07:58:40,Mamai Airport,Charlevoix Airport,8454
6V3625,2021-05-27 11:28:14,2021-05-27 03:28:14,Kato Airport,Arturo Michelena International Airport,26126
9T3626,2020-01-17 16:17:48,2020-01-17 00:17:48,Casino Airport,Iranamadu Seaplane Base,13319
D83627,2023-10-18 14:41:12,2023-10-18 02:41:12,In Salah Airport,Zabrat Airport,20495
Q43628,2021-04-10 02:39:41,2021-04-10 01:39:41,Pattaya Airpark,Kiffa Airport,1832
YP3629,2022-04-12 20:43:27,2022-04-12 18:43:27,Tagbilaran Airport,Mandalgobi Airport,11752
QT3630,2020-09-13 04:19:30,2020-09-13 03:19:30,Enrique Olaya Herrera Airport,Hagfors Airport,20766
KJ3631,2020-10-24 00:44:11,2020-10-23 15:44:11,Plattsburgh International Airport,Central Airport,24089
HN3632,2023-06-07 00:25:48,2023-06-06 21:25:48,Wagny Airport,Kushiro Airport,15523
JL3633,2020-10-09 20:27:12,2020-10-09 02:27:12,Allahabad Airport,Shakawe Airport,9149
SL3634,2020-06-24 12:05:13,2020-06-24 10:05:13,Kauhajoki Airport,Jinja Airport,13203
GL3635,2020-08-19 10:20:55,2020-08-19 01:20:55,Doutor Heráclito da Motta Luiz Airport,Canouan Airport,26017
2P3636,2022-10-12 13:26:39,2022-10-12 05:26:39,San Vito De Java Airport,Bolwarra Airport,6012
J63637,2020-11-16 01:11:18,2020-11-16 01:11:18,Morobe Airport,Malé International Airport,13088
OE3638,2021-11-23 03:37:45,2021-11-22 09:37:45,Shun Tak Heliport,Dalanzadgad Airport,25588
6Y3639,2021-04-19 02:22:04,2021-04-18 02:22:04,Maimun Saleh Airport,Great Harbour Cay Airport,24791
XW3640,2022-08-02 10:15:07,2022-08-01 16:15:07,Thylungra Airport,Wiarton Airport,20179
D43641,2021-07-19 05:52:44,2021-07-19 03:52:44,Al Dhafra Air Base,Merimbula Airport,435
MI3642,2022-11-20 20:47:39,2022-11-20 12:47:39,Malta Airport,Siassi Airport,21727
GB3643,2020-08-31 22:43:45,2020-08-31 16:43:45,Douglas Lake Airport,Bastia-Poretta Airport,5711
V33644,2022-02-02 04:38:15,2022-02-01 14:38:15,Cochrane Airport,Dien Bien Phu Airport,20170
MU3645,2020-02-03 02:57:04,2020-02-02 07:57:04,Termez Airport,Boutilimit Airport,18133
LJ3646,2021-07-09 05:39:39,2021-07-08 13:39:39,Las Américas International Airport,Fontaine Airport,9382
QO3647,2021-01-21 11:32:44,2021-01-21 06:32:44,Koingnaas Airport,San Pedro Airport,5206
Z03648,2021-04-16 10:01:18,2021-04-15 16:01:18,Berkley Municipal Heliport,Mário Pereira Lopes–São Carlos Airport,24196
TL3649,2022-06-24 00:51:37,2022-06-23 19:51:37,Sand Creek Airport,Breves Airport,27142
GS3650,2023-08-27 12:05:30,2023-08-26 13:05:30,Maron Island Airport,Norderney Airport,19033
VE3651,2021-10-16 18:22:57,2021-10-16 13:22:57,Anaco Airport,San Vito De Java Airport,14074
SX3652,2021-01-26 01:54:42,2021-01-25 17:54:42,Akanu Ibiam International Airport,Tabuk Airport,22588
BY3653,2022-10-21 11:58:03,2022-10-20 19:58:03,Findlay Airport,Kingfisher Lake Airport,19007
EF3654,2020-10-04 09:10:52,2020-10-04 07:10:52,Carlos Manuel de Cespedes Airport,Heho Airport,11317
MP3655,2021-11-05 03:12:25,2021-11-04 06:12:25,Stawell Airport,General Heriberto Jara International Airport,6710
1I3656,2022-03-10 01:30:02,2022-03-09 13:30:02,Owatonna Degner Regional Airport,Bonito Airport,22590
TJ3657,2022-12-15 03:17:23,2022-12-14 15:17:23,Coll Airport,Pitalito Airport,4987
EF3658,2022-08-27 06:05:34,2022-08-26 22:05:34,Scribner State Airport,Londolovit Airport,24511
1I3659,2021-09-21 12:47:06,2021-09-21 02:47:06,Bellingham International Airport,Friday Harbor Airport,2938
